Date,Value,Unit
2019-01-06 20:30:34 +0100,94,count/min
2019-01-06 20:30:40 +0100,95,count/min
2019-01-06 20:30:43 +0100,104,count/min
2019-01-06 20:30:45 +0100,103,count/min
2019-01-06 20:30:54 +0100,102,count/min
2019-01-06 20:30:57 +0100,100,count/min
2019-01-06 20:31:02 +0100,101,count/min
2019-01-06 20:31:09 +0100,102,count/min
2019-01-06 20:31:13 +0100,103,count/min
2019-01-06 20:31:15 +0100,103,count/min
2019-01-06 20:31:24 +0100,106,count/min
2019-01-06 20:31:25 +0100,106,count/min
2019-01-06 20:31:30 +0100,108,count/min
2019-01-06 20:31:36 +0100,109,count/min
2019-01-06 20:31:40 +0100,110,count/min
2019-01-06 20:31:46 +0100,110,count/min
2019-01-06 20:31:54 +0100,116,count/min
2019-01-06 20:31:55 +0100,113,count/min
2019-01-06 20:32:04 +0100,112,count/min
2019-01-06 20:32:09 +0100,113,count/min
2019-01-06 20:32:11 +0100,113,count/min
2019-01-06 20:32:15 +0100,112,count/min
2019-01-06 20:32:20 +0100,110,count/min
2019-01-06 20:32:25 +0100,110,count/min
2019-01-06 20:32:30 +0100,111,count/min
2019-01-06 20:32:36 +0100,115,count/min
2019-01-06 20:32:48 +0100,111,count/min
2019-01-06 20:32:50 +0100,111,count/min
2019-01-06 20:32:59 +0100,108,count/min
2019-01-06 20:33:02 +0100,108,count/min
2019-01-06 20:33:06 +0100,106,count/min
2019-01-06 20:33:11 +0100,108,count/min
2019-01-06 20:33:15 +0100,111,count/min
2019-01-06 20:34:26 +0100,121,count/min
2019-01-06 20:35:09 +0100,115,count/min
2019-01-06 20:35:12 +0100,111,count/min
2019-01-06 20:35:18 +0100,109,count/min
2019-01-06 20:35:23 +0100,109,count/min
2019-01-06 20:35:29 +0100,102,count/min
2019-01-06 20:35:34 +0100,104,count/min
2019-01-06 20:35:35 +0100,102,count/min
2019-01-06 20:35:44 +0100,96,count/min
2019-01-06 20:35:48 +0100,93,count/min
2019-01-06 20:35:50 +0100,90,count/min
2019-01-06 20:35:55 +0100,90,count/min
2019-01-06 20:36:04 +0100,87,count/min
2019-01-06 20:36:07 +0100,85,count/min
2019-01-06 20:36:10 +0100,86,count/min
2019-01-06 20:36:15 +0100,90,count/min
2019-01-06 20:36:24 +0100,93,count/min
2019-01-06 20:36:28 +0100,95,count/min
2019-01-06 20:36:30 +0100,94,count/min
2019-01-06 20:36:39 +0100,80,count/min
2019-01-06 20:36:40 +0100,81,count/min
2019-01-06 20:36:45 +0100,93,count/min
2019-01-06 20:36:54 +0100,90,count/min
2019-01-06 20:36:59 +0100,85,count/min
2019-01-06 20:37:01 +0100,84,count/min
2019-01-06 20:37:05 +0100,87,count/min
2019-01-06 20:37:14 +0100,92,count/min
2019-01-06 20:37:16 +0100,93,count/min
2019-01-06 20:37:24 +0100,104,count/min
2019-01-06 20:37:29 +0100,108,count/min
2019-01-06 20:37:33 +0100,107,count/min
2019-01-06 20:37:35 +0100,104,count/min
2019-01-06 20:37:41 +0100,101,count/min
2019-01-06 20:37:49 +0100,91,count/min
2019-01-06 20:37:51 +0100,92,count/min
2019-01-06 20:37:56 +0100,98,count/min
2019-01-06 20:38:00 +0100,100,count/min
2019-01-06 20:38:05 +0100,100,count/min
2019-01-06 20:38:14 +0100,90,count/min
2019-01-06 20:38:19 +0100,100,count/min
2019-01-06 20:38:24 +0100,95,count/min
2019-01-06 20:38:25 +0100,94,count/min
2019-01-06 20:38:30 +0100,91,count/min
2019-01-06 20:38:39 +0100,95,count/min
2019-01-06 20:38:44 +0100,95,count/min
2019-01-06 20:38:48 +0100,90,count/min
2019-01-06 20:38:53 +0100,97,count/min
2019-01-06 20:38:55 +0100,95,count/min
2019-01-06 20:39:04 +0100,97,count/min
2019-01-06 20:39:05 +0100,98,count/min
2019-01-06 20:39:13 +0100,92,count/min
2019-01-06 20:39:19 +0100,96,count/min
2019-01-06 20:39:22 +0100,97,count/min
2019-01-06 20:39:26 +0100,100,count/min
2019-01-06 20:39:34 +0100,91,count/min
2019-01-06 20:39:36 +0100,91,count/min
2019-01-06 20:39:44 +0100,96,count/min
2019-01-06 20:39:45 +0100,96,count/min
2019-01-06 20:39:50 +0100,101,count/min
2019-01-06 20:39:55 +0100,104,count/min
2019-01-06 20:40:15 +0100,113,count/min
2019-01-06 20:40:16 +0100,113,count/min
2019-01-06 20:40:25 +0100,98,count/min
2019-01-06 20:40:27 +0100,99,count/min
2019-01-06 20:40:31 +0100,100,count/min
2019-01-06 20:40:40 +0100,96,count/min
2019-01-06 20:40:43 +0100,99,count/min
2019-01-06 20:40:46 +0100,97,count/min
2019-01-06 20:40:51 +0100,101,count/min
2019-01-06 20:41:21 +0100,74,count/min
2019-01-06 20:50:09 +0100,73,count/min
2019-01-06 20:51:38 +0100,75,count/min
2019-01-06 21:00:07 +0100,73,count/min
2019-01-06 21:01:34 +0100,80,count/min
2019-01-06 21:08:06 +0100,77,count/min
2019-01-06 21:14:53 +0100,76,count/min
2019-01-06 21:18:41 +0100,74,count/min
2019-01-06 21:21:52 +0100,79,count/min
2019-01-06 21:28:54 +0100,78,count/min
2019-01-06 21:31:41 +0100,76,count/min
2019-01-06 21:42:35 +0100,71,count/min
2019-01-06 21:45:56 +0100,75,count/min
2019-01-06 21:53:45 +0100,102,count/min
2019-01-06 21:55:24 +0100,74,count/min
2019-01-06 22:00:51 +0100,78,count/min
2019-01-06 22:06:04 +0100,77,count/min
2019-01-06 22:11:17 +0100,64,count/min
2019-01-06 22:15:17 +0100,57,count/min
2019-01-06 22:22:53 +0100,79,count/min
